baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newp	Treatment	name	tissue	otu
Otu0076	8651.29989586963	5.63821970369638	1.17496029437837	4.79864701017781	1.59741037795007e-06	7.02860566298029e-05	0.0e+00	RPS	Roseburia sp. CAG:197 100	cec_cont_RNA	Otu007
Otu0091	16775.735953813	7.02802678640558	1.44771984009767	4.85454892013598	1.20661081570725e-06	7.02860566298029e-05	0.0e+00	RPS	Chlamydia trachomatis 79.464	cec_cont_RNA	Otu009
Otu027	13.4962013326529	-5.68187041359341	1.88965861106569	-3.00682376187997	0.0026399276561345	0.0357405590368979	3.6e-02	Control	Clostridium sp. CAG:58 92.857	cec_cont_RNA	Otu027
Otu0312	238.139677740666	4.72262563584681	1.61763987666353	2.91945426418856	0.00350644843034922	0.0411423282494309	4.1e-02	RPS	Roseburia inulinivorans 100	cec_cont_RNA	Otu031
Otu0346	728.620109707716	8.35348283195298	1.76149136560447	4.74227861405749	2.11327712612378e-06	7.43873548395571e-05	0.0e+00	RPS	Anaerostipes hadrus 100	cec_cont_RNA	Otu034
Otu0401	392.403750510613	-8.68525358693067	1.65522068815052	-5.2471876705669	1.5443855877854e-07	1.35905931725115e-05	0.0e+00	Control	Roseburia inulinivorans 93.75	cec_cont_RNA	Otu040
Otu0456	80.237878796084	8.06918392657519	1.94064110721795	4.15799907389519	3.21047325237579e-05	0.000807204703454484	1.0e-03	RPS	Clostridium sp. CAG:75 90.179	cec_cont_RNA	Otu045
Otu0612	196.705176532392	-9.55761216035067	1.81886865599408	-5.25470166790416	1.48264605557753e-07	1.35905931725115e-05	0.0e+00	Control	Clostridium sp. CAG:58 97.321	cec_cont_RNA	Otu061
Otu0678	44.8643007368508	6.72275907075187	1.56101272486783	4.30666513069012	1.65734217083785e-05	0.000486153703445768	0.0e+00	RPS	Clostridium sp. CAG:167 100	cec_cont_RNA	Otu067
Otu077	5.13556916318043	-5.19930003164239	1.77535230373761	-2.92860184465721	0.00340490266035071	0.0411423282494309	4.1e-02	Control	Roseburia inulinivorans 94.643	cec_cont_RNA	Otu077
Otu1472	12.693664100308	6.24243611797323	1.62878889324933	3.83256304352615	0.000126815086327052	0.00278993189919515	3.0e-03	RPS	Roseburia sp. CAG:197 97.701	cec_cont_RNA	Otu147
Otu1772	10.4010960986479	4.99740268396388	1.59054687260137	3.14193990133125	0.00167832481387387	0.026853197021982	2.7e-02	RPS	Roseburia sp. CAG:197 98.925	cec_cont_RNA	Otu177
Otu180	41.2018139907988	6.86518391534245	1.91901643578673	3.57744925333481	0.000346963552199453	0.0067850650207893	7.0e-03	RPS	[Eubacterium] hallii DSM 3353 78.022	cec_cont_RNA	Otu180
Otu200	33.1741611081028	6.07715113257124	1.89285273284132	3.21057788972783	0.00132468362938567	0.0233144318771877	2.3e-02	RPS	Chlamydia trachomatis 77.011	cec_cont_RNA	Otu200
Otu2601	4.61729413501094	4.93499375914233	1.634438820681	3.01938114580889	0.00253291654618637	0.0357405590368979	3.6e-02	RPS	Roseburia sp. CAG:197 96.809	cec_cont_RNA	Otu260
